Meldedatum,Einzug_KA_Salierweg,N,N_7d
2023-10-11,Nord,3,15.0
2023-10-11,Süd,2,19.0
2023-10-12,Nord,3,14.0
2023-10-12,Süd,1,17.0
2023-10-13,Nord,1,14.0
2023-10-13,Süd,5,19.0
2023-10-16,Nord,1,15.0
2023-10-16,Süd,7,24.0
2023-10-17,Nord,6,18.0
2023-10-17,Süd,7,29.0
2023-10-18,Nord,4,18.0
2023-10-18,Süd,9,31.0
2023-10-19,Nord,1,16.0
2023-10-19,Süd,3,32.0
2023-10-20,Süd,5,36.0
2023-10-23,Nord,7,19.0
2023-10-23,Süd,1,32.0
2023-10-24,Nord,2,20.0
2023-10-24,Süd,6,31.0
2023-10-25,Nord,1,15.0
2023-10-25,Süd,2,26.0
2023-10-26,Nord,2,13.0
2023-10-26,Süd,2,19.0
2023-10-27,Süd,2,18.0
2023-10-30,Nord,3,15.0
2023-10-30,Süd,6,19.0
2023-10-31,Nord,3,11.0
2023-10-31,Süd,4,22.0
2023-11-02,Nord,3,11.0
2023-11-02,Süd,7,21.0
2023-11-03,Nord,2,11.0
2023-11-03,Süd,4,23.0
2023-11-06,Nord,8,19.0
2023-11-06,Süd,10,31.0
2023-11-07,Nord,3,19.0
2023-11-07,Süd,11,36.0
2023-11-08,Nord,2,18.0
2023-11-08,Süd,3,35.0
2023-11-09,Nord,5,23.0
2023-11-09,Süd,8,43.0
2023-11-10,Nord,1,21.0
2023-11-10,Süd,3,39.0
2023-11-13,Nord,10,29.0
2023-11-13,Süd,10,45.0
2023-11-14,Nord,5,26.0
2023-11-14,Süd,10,45.0
2023-11-15,Nord,4,27.0
2023-11-15,Süd,4,38.0
2023-11-16,Nord,5,30.0
2023-11-16,Süd,1,36.0
2023-11-17,Nord,3,28.0
2023-11-17,Süd,1,29.0
2023-11-20,Nord,2,29.0
2023-11-20,Süd,4,30.0
2023-11-21,Nord,8,27.0
2023-11-21,Süd,8,28.0
2023-11-22,Nord,2,24.0
2023-11-22,Süd,14,32.0
2023-11-23,Nord,4,24.0
2023-11-23,Süd,12,40.0
2023-11-24,Nord,7,26.0
2023-11-24,Süd,16,55.0
2023-11-27,Nord,5,28.0
2023-11-27,Süd,9,63.0
2023-11-28,Nord,1,27.0
2023-11-28,Süd,9,68.0
2023-11-29,Nord,7,26.0
2023-11-29,Süd,9,69.0
2023-11-30,Nord,7,31.0
2023-11-30,Süd,10,65.0
2023-12-01,Nord,2,29.0
2023-12-01,Süd,5,58.0
2023-12-04,Nord,13,35.0
2023-12-04,Süd,7,49.0
2023-12-05,Nord,2,32.0
2023-12-06,Nord,3,34.0
2023-12-06,Süd,6,37.0
2023-12-07,Nord,3,30.0
2023-12-07,Süd,8,36.0
2023-12-08,Nord,5,28.0
2023-12-08,Süd,11,37.0
2023-12-11,Nord,27,53.0
2023-12-11,Süd,16,48.0
2023-12-12,Nord,6,46.0
2023-12-12,Süd,7,48.0
2023-12-13,Nord,4,48.0
2023-12-13,Süd,6,54.0
2023-12-14,Nord,8,53.0
2023-12-14,Süd,6,54.0
2023-12-15,Nord,3,53.0
2023-12-15,Süd,11,57.0
2023-12-18,Nord,9,57.0
2023-12-18,Süd,8,54.0
2023-12-19,Nord,6,36.0
2023-12-19,Süd,15,53.0
2023-12-20,Nord,4,34.0
2023-12-20,Süd,2,48.0
2023-12-21,Nord,3,33.0
2023-12-21,Süd,2,44.0
2023-12-22,Nord,8,33.0
2023-12-22,Süd,1,39.0
2023-12-27,Nord,13,28.0
2023-12-27,Süd,6,11.0
2023-12-28,Nord,1,25.0
2023-12-28,Süd,2,11.0
2023-12-29,Nord,3,25.0
2023-12-29,Süd,2,11.0
2024-01-02,Nord,6,23.0
2024-01-02,Süd,15,25.0
2024-01-03,Nord,1,24.0
2024-01-03,Süd,3,28.0
2024-01-04,Nord,3,14.0
2024-01-04,Süd,1,23.0
2024-01-05,Nord,1,14.0
2024-01-05,Süd,2,23.0
2024-01-08,Nord,1,12.0
2024-01-08,Süd,6,27.0
2024-01-09,Nord,1,13.0
2024-01-09,Süd,1,28.0
2024-01-10,Süd,3,16.0
2024-01-11,Süd,1,14.0
2024-01-12,Süd,1,14.0
2024-01-15,Nord,2,4.0
2024-01-15,Süd,1,13.0
2024-01-16,Nord,1,4.0
2024-01-16,Süd,1,8.0
2024-01-17,Nord,2,5.0
2024-01-17,Süd,1,8.0
2024-01-18,Süd,1,6.0
2024-01-19,Nord,5,10.0
2024-01-19,Süd,2,7.0
2024-01-22,Nord,2,12.0
2024-01-22,Süd,6,12.0
2024-01-23,Süd,1,12.0
2024-01-24,Nord,1,10.0
2024-01-25,Nord,2,10.0
2024-01-25,Süd,2,12.0
2024-01-29,Nord,3,8.0
2024-01-29,Süd,1,10.0
2024-01-30,Nord,2,8.0
2024-01-30,Süd,2,6.0
2024-01-31,Süd,4,9.0
2024-02-02,Nord,2,7.0
2024-02-05,Nord,1,8.0
2024-02-07,Nord,1,4.0
2024-02-07,Süd,1,5.0
2024-02-09,Süd,1,2.0
2024-02-13,Nord,3,4.0
2024-02-13,Süd,3,5.0
2024-02-14,Süd,1,6.0
2024-02-15,Nord,1,4.0
2024-02-20,Nord,4,8.0
2024-02-21,Nord,3,8.0
2024-02-21,Süd,1,2.0
2024-02-22,Nord,1,9.0
2024-02-23,Nord,1,9.0
2024-02-23,Süd,2,3.0
2024-02-26,Nord,2,11.0
