Date,Town,Probenbegleitschein vollständig,Genkopien im Durchschnitt (Gq/ml),Genkopien N1/ml,Genkopien N2/ml,Anteil Genkopien Durchschnitt zu PMMoV x100.000,Volumenstrom (m3/d),Bevoelkerung,Faelle_gesamt,Faelle_neu,Faelle_7-Tage,Inzidenz_7-Tage,Valid test,Positive test,Newly positive test,Study phase,prevalence
2023-03-27,Trier,,,,,,,112195.0,44417.0,0.0,31.0,27.6,,,,,
2023-03-28,Kaiserslautern, ja,407.0,246.0,568.0,277.0,69358.0,108216.0,58999.0,9.0,49.0,45.3,,,,,
2023-03-28,Koblenz,,,,,,,115268.0,51425.0,15.0,63.0,54.7,,,,,
2023-03-28,Ludwigshafen,,,,,,,174265.0,68785.0,19.0,56.0,32.1,,,,,
2023-03-28,Mainz, nein,289.5,218.0,361.0,164.0,72154.0,220552.0,100784.0,8.0,55.0,24.9,,,,,
2023-03-28,Trier, nein,447.0,256.0,638.0,258.0,39358.0,112195.0,44426.0,9.0,33.0,29.4,,,,,
2023-03-29,Kaiserslautern,,,,,,,108216.0,59003.0,4.0,44.0,40.7,1872.0,20.0,9.0,1.0,1.0683760683760684
2023-03-29,Koblenz, ja,839.0,218.0,1460.0,401.0,28212.0,115268.0,51431.0,6.0,63.0,54.7,2175.0,18.0,7.0,1.0,0.8275862068965517
2023-03-29,Ludwigshafen, ja,6.0,12.0,0.0,53.6,256490.0,174265.0,68796.0,11.0,59.0,33.9,1226.0,14.0,3.0,1.0,1.1419249592169658
2023-03-29,Mainz,,,,,,,220552.0,100788.0,4.0,44.0,19.9,2926.0,24.0,11.0,1.0,0.8202323991797676
2023-03-29,Trier,,,,,,,112195.0,44427.0,1.0,26.0,23.2,1794.0,21.0,8.0,1.0,1.1705685618729096
2023-03-30,Kaiserslautern, ja,776.0,352.0,1200.0,390.0,30247.0,108216.0,59019.0,16.0,49.0,45.3,,,,,
2023-03-30,Koblenz,,,,,,,115268.0,51437.0,6.0,56.0,48.6,,,,,
2023-03-30,Ludwigshafen,,,,,,,174265.0,68804.0,8.0,57.0,32.7,,,,,
2023-03-30,Mainz, nein,522.0,330.0,714.0,125.0,43674.0,220552.0,100794.0,6.0,38.0,17.2,,,,,
2023-03-30,Trier, nein,506.0,322.0,690.0,244.0,28135.0,112195.0,44432.0,5.0,27.0,24.1,,,,,
2023-03-31,Kaiserslautern,,,,,,,108216.0,59025.0,6.0,43.0,39.7,,,,,
2023-03-31,Koblenz,,,,,,,115268.0,51445.0,8.0,53.0,46.0,,,,,
2023-03-31,Ludwigshafen,,,,,,,174265.0,68812.0,8.0,57.0,32.7,,,,,
2023-03-31,Mainz,,,,,,,220552.0,100799.0,5.0,36.0,16.3,,,,,
2023-03-31,Trier,,,,,,,112195.0,44438.0,6.0,21.0,18.7,,,,,
2023-04-01,Kaiserslautern,,,,,,,108216.0,59033.0,8.0,43.0,39.7,,,,,
2023-04-01,Koblenz,,,,,,,115268.0,51445.0,0.0,40.0,34.7,,,,,
2023-04-01,Ludwigshafen,,,,,,,174265.0,68815.0,3.0,52.0,29.8,,,,,
2023-04-01,Mainz,,,,,,,220552.0,100799.0,0.0,23.0,10.4,,,,,
2023-04-01,Trier,,,,,,,112195.0,44440.0,2.0,23.0,20.5,,,,,
2023-04-02,Kaiserslautern,,,,,,,108216.0,59033.0,0.0,43.0,39.7,2032.0,19.0,10.0,1.0,0.9350393700787403
2023-04-02,Koblenz,,,,,,,115268.0,51445.0,0.0,39.0,33.8,2320.0,16.0,11.0,1.0,0.6896551724137931
2023-04-02,Ludwigshafen,,,,,,,174265.0,68816.0,1.0,50.0,28.7,1352.0,11.0,6.0,1.0,0.8136094674556213
