Date of SARS-CoV-2 test;Town;Valid test;Positive test;Newly positive test;Study phase
2023-03-15;Koblenz;1706;43;25;1
2023-03-15;Ludwigshafen;963;12;6;1
2023-03-15;Mainz;2304;32;12;1
2023-03-15;Trier;1391;25;10;1
2023-03-19;Kaiserslautern;1632;28;11;1
2023-03-19;Koblenz;1950;40;20;1
2023-03-19;Ludwigshafen;1067;17;11;1
2023-03-19;Mainz;2638;32;18;1
2023-03-19;Trier;1544;24;9;1
2023-03-22;Kaiserslautern;1658;23;13;1
2023-03-22;Koblenz;1992;32;8;1
2023-03-22;Ludwigshafen;1105;17;10;1
2023-03-22;Mainz;2671;33;16;1
2023-03-22;Trier;1632;19;8;1
2023-03-26;Kaiserslautern;1836;20;10;1
2023-03-26;Koblenz;2138;26;21;1
2023-03-26;Ludwigshafen;1224;18;10;1
2023-03-26;Mainz;2889;31;15;1
2023-03-26;Trier;1790;24;12;1
2023-03-29;Kaiserslautern;1872;20;9;1
2023-03-29;Koblenz;2175;18;7;1
2023-03-29;Ludwigshafen;1226;14;3;1
2023-03-29;Mainz;2926;24;11;1
2023-03-29;Trier;1794;21;8;1
2023-04-02;Kaiserslautern;2032;19;10;1
2023-04-02;Koblenz;2320;16;11;1
2023-04-02;Ludwigshafen;1352;11;6;1
2023-04-02;Mainz;2991;25;13;1
2023-04-02;Trier;2010;18;9;1
2023-04-05;Kaiserslautern;2087;20;12;1
2023-04-05;Koblenz;2355;20;11;1
2023-04-05;Ludwigshafen;1435;12;6;1
2023-04-05;Mainz;2960;30;13;1
2023-04-05;Trier;2042;13;8;1
2023-04-09;Kaiserslautern;2123;24;12;1
2023-04-09;Koblenz;2287;18;10;1
2023-04-09;Ludwigshafen;1468;10;4;1
2023-04-09;Mainz;2826;20;1;1
2023-04-09;Trier;2042;16;9;1
2023-04-12;Kaiserslautern;2218;17;6;1
2023-04-12;Koblenz;2382;13;5;1
2023-04-12;Ludwigshafen;1591;7;2;1
2023-04-12;Mainz;2961;19;11;1
2023-04-12;Trier;2168;19;7;1
2023-04-16;Kaiserslautern;2318;18;10;1
2023-04-16;Koblenz;2428;12;6;1
2023-04-16;Ludwigshafen;2165;16;12;1
2023-04-16;Mainz;2990;22;11;1
2023-04-16;Trier;2297;21;13;1
2023-04-19;Kaiserslautern;2289;17;11;1
2023-04-19;Koblenz;2352;14;7;1
2023-04-19;Ludwigshafen;2163;12;4;1
2023-04-19;Mainz;2904;16;4;1
2023-04-19;Trier;2274;13;4;1
2023-04-23;Kaiserslautern;2303;16;9;1
2023-04-23;Koblenz;2373;11;3;1
2023-04-23;Ludwigshafen;2176;10;4;1
2023-04-23;Mainz;2921;13;7;1
2023-04-23;Trier;2295;12;5;1
2023-04-26;Kaiserslautern;2218;17;11;1
2023-04-26;Koblenz;2287;5;2;1
2023-04-26;Ludwigshafen;2142;7;3;1
2023-04-26;Mainz;2868;13;6;1
2023-04-26;Trier;2263;15;9;1
2023-04-30;Kaiserslautern;2081;16;6;1
2023-04-30;Koblenz;2083;5;3;1
2023-04-30;Ludwigshafen;1958;5;3;1
2023-04-30;Mainz;2509;10;4;1
2023-04-30;Trier;1991;19;12;1
2023-06-28;Kaiserslautern;371;2;2;2
2023-06-28;Koblenz;419;1;1;2
2023-06-28;Ludwigshafen;401;1;1;2
2023-06-28;Mainz;508;0;0;2
2023-06-28;Trier;375;0;0;2
2023-07-05;Kaiserslautern;731;3;3;2
2023-07-05;Koblenz;768;2;2;2
2023-07-05;Ludwigshafen;731;1;1;2
2023-07-05;Mainz;954;1;1;2
2023-07-05;Trier;670;2;2;2
2023-07-12;Kaiserslautern;924;4;4;2
2023-07-12;Koblenz;987;2;1;2
2023-07-12;Ludwigshafen;903;1;1;2
2023-07-12;Mainz;1284;1;1;2
2023-07-12;Trier;887;4;2;2
2023-07-19;Kaiserslautern;1092;4;3;2
2023-07-19;Koblenz;1158;3;3;2
2023-07-19;Ludwigshafen;1052;4;4;2
2023-07-19;Mainz;1482;8;8;2
2023-07-19;Trier;1054;4;4;2
2023-07-26;Kaiserslautern;1268;5;2;2
2023-07-26;Koblenz;1408;6;5;2
2023-07-26;Ludwigshafen;1246;3;0;2
2023-07-26;Mainz;1739;8;3;2
2023-07-26;Trier;1277;6;5;2
2023-08-02;Kaiserslautern;1382;5;3;2
2023-08-02;Koblenz;1518;10;7;2
2023-08-02;Ludwigshafen;1362;8;6;2
2023-08-02;Mainz;1859;15;8;2
2023-08-02;Trier;1394;4;3;2
2023-08-09;Kaiserslautern;1443;7;3;2
2023-08-09;Koblenz;1623;12;8;2
2023-08-09;Ludwigshafen;1423;9;6;2
2023-08-09;Mainz;1885;14;5;2
2023-08-09;Trier;1455;11;10;2
2023-08-16;Kaiserslautern;1453;9;7;2
2023-08-16;Koblenz;1612;11;8;2
2023-08-16;Ludwigshafen;1441;7;3;2
2023-08-16;Mainz;1905;22;14;2
2023-08-16;Trier;1416;7;4;2
2023-08-23;Kaiserslautern;1562;12;9;2
2023-08-23;Koblenz;1731;16;12;2
2023-08-23;Ludwigshafen;1569;7;4;2
2023-08-23;Mainz;1926;19;15;2
2023-08-23;Trier;1522;11;6;2
2023-08-30;Kaiserslautern;1753;12;6;2
2023-08-30;Koblenz;2004;18;13;2
2023-08-30;Ludwigshafen;1807;11;10;2
2023-08-30;Mainz;2202;19;9;2
2023-08-30;Trier;1778;10;6;2
2023-09-06;Kaiserslautern;1845;19;16;2
2023-09-06;Koblenz;2234;25;18;2
2023-09-06;Ludwigshafen;1988;15;13;2
2023-09-06;Mainz;2376;24;18;2
2023-09-06;Trier;1938;18;15;2
2023-09-13;Kaiserslautern;1845;28;20;2
2023-09-13;Koblenz;2296;23;16;2
2023-09-13;Ludwigshafen;2005;22;14;2
2023-09-13;Mainz;2385;22;16;2
2023-09-13;Trier;1973;19;11;2
2023-09-20;Kaiserslautern;1844;30;19;2
2023-09-20;Koblenz;2362;26;23;2
2023-09-20;Ludwigshafen;2045;36;26;2
2023-09-20;Mainz;2469;28;22;2
